Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Publication.Date,Total.Occupants,Fatal.Serious.Injuries,Fatal.Serious.Rate,Destroyed,Aircraft.Type
20001214X42478,Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,,,LAX,LOS ANGELES INTL,Incident,Minor,Airplane,9VSQQ,Boeing,747,No,4.0,Turbo Fan,Part 129: Foreign,,0.0,0.0,0.0,588.0,Vmc,Probable Cause,04-12-2014,588.0,0.0,0.0,0,Boeing 747
20001214X42331,Accident,ATL83FA140,1983-03-20,"CROSSVILLE, TN",United States,,,,,Fatal(1),Destroyed,Airplane,N9600W,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,1.0,1.0,0.0,0.0,Imc,Probable Cause,02-05-2011,2.0,2.0,1.0,1,Piper PA-28-140
20001214X42672,Accident,FTW83LA177,1983-04-02,"MCKINNEY, TX",United States,,,TX05,AERO COUNTRY,Fatal(1),Unknown,Airplane,N927BA,De Havilland,DHC-6,No,2.0,Turbo Prop,Part 91: General Aviation,Skydiving,1.0,0.0,0.0,4.0,Vmc,Probable Cause,17-10-2016,5.0,1.0,0.2,0,De Havilland DHC-6
20001214X45013,Incident,CHI84IA041,1983-11-08,"CHICAGO, IL",United States,,,ORD,O'HARE,Incident,Minor,Airplane,N898AA,Boeing,727-200,No,3.0,Turbo Fan,Part 121: Air Carrier,Unknown,0.0,0.0,0.0,100.0,Vmc,Probable Cause,11-06-2018,100.0,0.0,0.0,0,Boeing 727-200
20001214X45188,Accident,NYC84LA028,1983-11-13,"MARTHA'S VINEYARD, MA",United States,,,,,Non-Fatal,Substantial,Airplane,N1882D,Beech,C35,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,Vmc,Probable Cause,05-05-2011,1.0,0.0,0.0,0,Beech C35
20001214X45339,Accident,LAX84LA110,1983-12-22,"SANTA ROSA ISLAND, CA",United States,,,,PRIVATE,Non-Fatal,Substantial,Airplane,N2697K,Cessna,180K,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,Vmc,Probable Cause,01-02-2016,1.0,0.0,0.0,0,Cessna 180K
20001214X38957,Accident,ATL84LA120,1984-03-14,"MYRTLE BEACH, SC",United States,,,CRE,GRAND STRAND,Non-Fatal,Substantial,Airplane,N7994R,Beech,99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,0.0,0.0,0.0,1.0,Vmc,Probable Cause,24-09-2018,1.0,0.0,0.0,0,Beech 99
20001214X40033,Accident,MIA84LA182,1984-06-11,"FT. LAUDERDALE, FL",United States,,,FXE,FT. LAUDERDALE EXECUTIVE,Non-Fatal,Substantial,Airplane,N29994,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,4.0,Vmc,Probable Cause,13-09-2011,4.0,0.0,0.0,0,Piper PA-23-250
20001214X40407,Accident,MKC84FA197,1984-07-03,"WRIGHT, AR",United States,,,,,Fatal(1),Destroyed,Airplane,N4025,Piper,PA-18-150,No,1.0,Reciprocating,Part 137: Agricultural,Aerial Application,1.0,0.0,0.0,0.0,Vmc,Probable Cause,15-12-2009,1.0,1.0,1.0,1,Piper PA-18-150
20001214X41647,Accident,MKC85LA019,1984-11-09,"JUNCTION CITY, KS",United States,,,3JC,JUNCTION CITY MUNI,Non-Fatal,Substantial,Airplane,N13030,Cessna,R172E,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,1.0,Vmc,Probable Cause,02-05-2011,1.0,0.0,0.0,0,Cessna R172E
20001214X41706,Accident,ATL85FA072,1984-12-30,"DUBLIN, VA",United States,,,PSK,NEW RIVER VALLEY,Fatal(1),Destroyed,Airplane,N4963D,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,1.0,0.0,0.0,0.0,Vmc,Probable Cause,17-10-2016,1.0,1.0,1.0,1,Cessna 182A
20001214X35509,Accident,DEN85LA064,1985-01-14,"WAPITI, WY",United States,,,,,Non-Fatal,Destroyed,Airplane,N759WB,Cessna,182Q,No,1.0,Reciprocating,Part 91: General Aviation,Personal,0.0,1.0,1.0,0.0,Vmc,Probable Cause,12-01-2016,2.0,1.0,0.5,1,Cessna 182Q
20001214X36510,Accident,LAX85LA257,1985-05-13,"MESA, AZ",United States,,,FFZ,FALCON FLD.,Non-Fatal,Destroyed,Airplane,N4661V,Cessna,T303,No,2.0,Reciprocating,Part 91: General Aviation,Positioning,0.0,1.0,0.0,0.0,Vmc,Probable Cause,03-08-2011,1.0,1.0,1.0,1,Cessna T303
20001214X36887,Accident,NYC85FA145B,1985-06-11,"BELMAR, NJ",United States,,,BLM,BELMAR MONMOUTH CO.,Fatal(1),Destroyed,Airplane,N4956B,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,1.0,1.0,4.0,0.0,Vmc,Probable Cause,08-04-2013,6.0,2.0,0.3333333333333333,1,Cessna 152
20001214X37356,Incident,ATL85IA251,1985-08-16,"HILTON HEAD, SC",United States,,,49J,HILTON HEAD,Incident,Substantial,Airplane,N2624D,Cessna,441,No,2.0,Turbo Prop,Part 91: General Aviation,Business,0.0,0.0,0.0,4.0,Vmc,Probable Cause,26-07-2011,4.0,0.0,0.0,0,Cessna 441
20001214X37718,Accident,ATL85MA286,1985-09-29,"JENKINSBURG, GA",United States,,,,WEST WIND SPORT PARACHUTE,Fatal(17),Destroyed,Airplane,N551CC,Cessna,208,No,1.0,Turbo Prop,Part 91: General Aviation,Skydiving,17.0,0.0,0.0,0.0,Vmc,Probable Cause,17-10-2016,17.0,17.0,1.0,1,Cessna 208
20001213X33306,Accident,LAX86LA166,1986-04-08,"MESA, AZ",United States,,,FFZ,FALCON FIELD,Non-Fatal,Substantial,Airplane,N3872E,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,Personal,0.0,0.0,0.0,2.0,Vmc,Probable Cause,03-08-2011,2.0,0.0,0.0,0,Piper PA-23-250
20001213X33276,Accident,FTW86FA066B,1986-04-15,"HANKAMER, TX",United States,,,,,Fatal(2),Destroyed,Airplane,N8696H,Grumman,G164A,No,1.0,Reciprocating,Part 137: Agricultural,Aerial Application,2.0,0.0,0.0,0.0,Vmc,Probable Cause,08-04-2013,2.0,2.0,1.0,1,Grumman G164A
20001213X33276,Accident,FTW86FA066A,1986-04-15,"HANKAMER, TX",United States,,,,,Fatal(2),Destroyed,Airplane,N8751H,Grumman,G164A,No,1.0,Reciprocating,Part 137: Agricultural,Aerial Application,2.0,0.0,0.0,0.0,Vmc,Probable Cause,08-04-2013,2.0,2.0,1.0,1,Grumman G164A
20001213X33697,Accident,SEA86FA121B,1986-05-19,"MEAD, WA",United States,,,,,Fatal(2),Destroyed,Airplane,N8267Q,Cessna,TU206F,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,2.0,0.0,1.0,0.0,Vmc,Probable Cause,17-10-2016,3.0,2.0,0.6666666666666666,1,Cessna TU206F
